"# 文本key","文本value"
"neigong_desc_190121","<JmTipGray>При выпрашивании денег есть шанс получить дополнительный предмет.</>"
"neigong_desc_190130","<JmTipGray>Получает на 3 хода меньше за ход. Урон от движений +10.</>"
"neigong_desc_190130_2","<JmTipGray>Снижает количество получаемых ходов на 3 за ход, но увеличивает ATK всех движений на 20.</>"
"neigong_desc_190130_3","<JmTipGray>Снижает количество получаемых ходов на 3 за ход, но увеличивает ATK всех движений на 50.</>"
"neigong_desc_190131","<JmTipGray>Снижает расход энергии на внешние действия на 25%. В начале каждого хода в бою получает один слой [Отражение], наносящий 75% урона.</>"
"neigong_desc_190131_2","<JmTipGray>Снижает расход энергии на внешние действия на 35%. В начале каждого хода в бою получает один слой [Отражение], наносящий 100% урона.</>"
"neigong_desc_190131_3","<JmTipGray>Снижает расход энергии на внешние действия на 45%. В начале каждого хода в бою получает один слой [Отражение], наносящий 125% урона.</>"
"neigong_desc_190132","<JmTipGray>Не имеет требований для активации. Повышает жизненную силу и точки акупунктуры.</>"
"neigong_desc_190140","<JmTipGray>Случайно активируется каждый раунд</> <JmTipWhite>1</> <JmTipGray> [Звездный сдвиг] или [Перенос цветов и деревьев] раз</>"
"neigong_desc_190140_2","<JmTipGray>В начале боя получите 4 стака [Звездных Переносов] или [Цветочных Транспозиций].</>"
"neigong_desc_190140_3","<JmTipGray>В начале боя получите 6 стаков [Звездных Переносов] или [Цветочных Транспозиций].</>"
"neigong_desc_190140_reverse","<JmTipGray>Случайно активирует 1 навык в начале боя.</>"
"neigong_desc_190140_reverse_2","<JmTipGray>Случайно активирует 1 навык дважды в начале боя.</>"
"neigong_desc_190140_reverse_3","<JmTipGray>Случайно активирует 2 навыка дважды в начале боя.</>"
"neigong_desc_190141","<JmTipGray>Вы можете обмениваться скрытой болезнью другого участника с самим собой.</>"
"neigong_desc_190141_2","<JmTipGray>Вы можете обмениваться недугами с другими снаружи. При первом обмене недугами с NPC получите +1 к случайной базовой характеристике.</>"
"neigong_desc_190141_3","<JmTipGray>Вы можете обмениваться недугами с другими снаружи. При первом обмене недугами с NPC получите +1 к случайной базовой характеристике. Обмен игнорирует требования.</>"
"neigong_desc_190141_reverse","<JmTipGray>Когда ваша Живучесть ниже 20%, вы становитесь невосприимчивы к урону от навыков. Если у противника Живучесть выше вашей, обменяйте текущую Живучесть с его Живучестью, но его Живучесть не может упасть ниже 50%.</>"
"neigong_desc_190141_reverse_2","<JmTipGray>Когда ваша Живучесть ниже 20%, вы становитесь невосприимчивы к урону от навыков. Если у противника Живучесть выше вашей, обменяйте текущую Живучесть с его Живучестью, но его Живучесть не может упасть ниже 30%.</>"
"neigong_desc_190141_reverse_3","<JmTipGray>Когда ваша Живучесть ниже 20%, вы становитесь невосприимчивы к урону от навыков. Если у противника Живучесть выше вашей, обменяйте текущую Живучесть с его Живучестью, но его Живучесть не может упасть ниже 10%.</>"
"neigong_desc_190150","<JmTipGray>В начале каждого хода получает</> <JmTipWhite>1</> <JmTipGray> Движение Бездны.</>"
"neigong_desc_190150_2","<JmTipGray>В начале каждого хода получает 2 Движения Бездны.</>"
"neigong_desc_190150_3","<JmTipGray>В начале каждого хода получает 3 Движения Бездны.</>"
"neigong_desc_190150_reverse","<JmTipGray>В начале каждого хода преобразует 2 движения не-оружия в движения оружия, предоставляя бонус к криту.</>"
"neigong_desc_190150_reverse_2","<JmTipGray>В начале каждого хода преобразует 4 движения не-оружия в движения оружия, предоставляя бонус к криту.</>"
"neigong_desc_190150_reverse_3","<JmTipGray>В начале каждого хода преобразует 6 движений не-оружия в движения оружия, предоставляя бонус к криту.</>"
"neigong_desc_190151","<JmTipGray>В соответствии с максимальной внутренней силой</> <JmTipWhite>50%</> <JmTipGray> увеличивает урон от навыков владения мечом</>"
"neigong_desc_190151_2","<JmTipGray>Преобразует 50% энергии в урон навыков меча.</>"
"neigong_desc_190151_3","<JmTipGray>Преобразует 50% энергии в урон навыков меча. Требование к использованию навыков меча -1.</>"
"neigong_desc_190160","<JmTipGray> Получите [Ган Ци] в начале боя, и [Ган Ци] будет пополняться до верхнего предела каждый раунд. </>"
"neigong_desc_190161","<JmTipGray>Каждые 1/3/5/7/9 хода активируйте свои боевые искусства в позициях 1/2/3/4/5 по порядку, независимо от требований. Ваш прогресс в тренировках по всем боевым искусствам будет увеличиваться на 20 очков каждый день. Внешнее и внутреннее потребление энергии снижается на 99%. Никаких скрытых болезней </> <JmTipWhite>кроме внутренних повреждений</> <JmTipGray>(в том числе переломов рук, хромоты и слепоты) вы не получите. Получите огромное количество ци и Живучести, огромное количество истинной энергии, а после первой активации огромное количество Живучести, расширяет меридианы. </>"
"neigong_desc_190170","<JmTipGray>Скорость движения увеличена в течение дня</> <JmTipWhite>20%</> <JmTipGray>, если есть незавершенное состояние, в каждом раунде во время боя будет нарисовано больше ходов</> <JmTipWhite>1</> <JmTipGray></>"
"neigong_desc_190170_2","<JmTipGray>Скорость передвижения в дневное время увеличивается на</> <JmTipWhite>20%</><JmTipGray>. В бою вытягивает</> <JmTipWhite>2</> <JmTipGray>дополнительных движения каждый ход при статусе Евнуха.</>"
"neigong_desc_190170_3","<JmTipGray>Скорость передвижения в дневное время увеличивается на</> <JmTipWhite>20%</><JmTipGray>. В бою вытягивает</> <JmTipWhite>3</> <JmTipGray>дополнительных движения каждый ход при статусе Евнуха.</>"
"neigong_desc_190170_reverse","<JmTipGray>Увеличивает вашу скорость передвижения на 5% днем. Если вы не в статусе Евнуха, получает иммунитет к урону от навыков в начале боя на 1 ход.</>"
"neigong_desc_190170_reverse_2","<JmTipGray>Увеличивает вашу скорость передвижения на 10% днем. Если вы не в статусе Евнуха, получает иммунитет к урону от навыков в начале боя на 1 ход.</>"
"neigong_desc_190170_reverse_3","<JmTipGray>Увеличивает вашу скорость передвижения на 15% днем. Если вы не в статусе Евнуха, получает иммунитет к урону от навыков в начале боя на 2 хода.</>"
"neigong_desc_190180","<JmTipGray>В состоянии скрытности добавляется кнопка скрытой атаки для взаимодействия с действиями целевого персонажа, которая потребляет всю внутреннюю энергию и наносит равное количество ци и Живучести целевому персонажу. Когда ци и Живучесть цели иссякнут, цель опустошается, теряет сознание и повышает</> <JmTipWhite>3</> <JmTipGray>уровня Сюаньинь Чжэньци.</>"
"neigong_desc_190190","<JmTipGray>Каждый раз, когда вы получаете Заслугу, увеличивается максимальное здоровье на 50 (до 500). За каждые 100 Заслуг увеличивает атаку на 1 в случайной категории, кроме Оружия или Скрытого Оружия (до 10 раз).</>"
"neigong_desc_190190_2","<JmTipGray>Каждый раз, когда вы получаете Заслугу, увеличивается максимальное здоровье на 50 (до 1000). За каждые 100 Заслуг увеличивает атаку на 1 в случайной категории, кроме Оружия или Скрытого Оружия (до 20 раз).</>"
"neigong_desc_190190_3","<JmTipGray>Каждый раз, когда вы получаете Заслугу, увеличивается максимальное здоровье на 50 (до 2000). За каждые 100 Заслуг увеличивает атаку на 1 в случайной категории, кроме Оружия или Скрытого Оружия (до 30 раз).</>"
"neigong_desc_190191","<JmTipGray>Во время Спора получает 2 дополнительные возможности удалить или обновить Словесные Дуэли. Все Добрые Словесные Дуэли получают +10% к Красноречию. Новое действие в Помощи: Порицание.</>"
"neigong_desc_190191_2","<JmTipGray>Во время Спора получает 3 дополнительные возможности удалить или обновить Словесные Дуэли. Все Добрые Словесные Дуэли получают +10% к Красноречию. Новое действие в Помощи: Порицание.</>"
"neigong_desc_190191_3","<JmTipGray>Во время Спора получает 4 дополнительные возможности удалить или обновить Словесные Дуэли. Все Добрые Словесные Дуэли получают +10% к Красноречию. Новое действие в Помощи: Порицание.</>"
"neigong_desc_190191_reverse","<JmTipGray>Увеличивает Красноречие на +5 во всех Словесных Дуэлях. Словесную Дуэль нельзя удалить.</>"
"neigong_desc_190191_reverse_2","<JmTipGray>Увеличивает Красноречие на +10 во всех Словесных Дуэлях. Словесную Дуэль нельзя удалить.</>"
"neigong_desc_190191_reverse_3","<JmTipGray>Увеличивает Красноречие на +15 во всех Словесных Дуэлях. Словесную Дуэль нельзя удалить.</>"
"neigong_desc_190200","<JmTipGray>Усиливает ваши характеристики в зависимости от количества Мечей в Мечнице. В начале каждого хода применяет [Крит] к 2 случайным движениям с Оружием. Если движение уже имеет [Крит], улучшает до [Пронзание].</>"
"neigong_desc_190210","<JmTipGray>Увеличивает максимальную Живучесть в зависимости от текущей Нагрузки (получает 100 Живучести за каждые 500 Нагрузки, до 1000 Живучести).</>"
"neigong_desc_190210_2","<JmTipGray>Увеличивает максимальную Живучесть в зависимости от текущей Нагрузки (получает 200 Живучести за каждые 400 Нагрузки, до 2000 Живучести).</>"
"neigong_desc_190210_3","<JmTipGray>Увеличивает максимальную Живучесть в зависимости от текущей Нагрузки (получает 300 Живучести за каждые 300 Нагрузки, до 3000 Живучести).</>"
"neigong_desc_190211","<JmTipGray>Каждый раз, когда вы используете Навык Оружия, получает 1 накопление [Импульса] и вытягивает 1 дополнительное движение в следующий ход.</>"
"neigong_desc_190211_2","<JmTipGray>Каждый раз, когда вы используете Навык Оружия, получает 2 накопления [Импульса] и вытягивает 2 дополнительных движения в следующий ход.</>"
"neigong_desc_190211_3","<JmTipGray>Каждый раз, когда вы используете Навык Оружия, получает 3 накопления [Импульса] и вытягивает 3 дополнительных движения в следующий ход.</>"
"neigong_desc_190220","<JmTipGray>Каждый ход в бою накладывает Ядовитый Газ на все Движения. Урон от Ядовитого Газа увеличивается в зависимости от количества Ядовитых Червей в вашем теле. За каждого Червя в теле урон навыка Ядовитого Газа увеличивается на количество Червей * 5%. Новые действия: Внедрить Червя, Кормление Кровью.</>"
"neigong_add_zhenqi_prop_136","<JmTipGray>, увеличивает</> <JmTipGray>ур. Ци Луны к</> <JmTipWhite>{0}</>"
"neigong_add_zhenqi_prop_137","<JmTipGray>, увеличивает</> <JmTipGray>Ур. Ци Солнца к</> <JmTipWhite>{0}</>"
"neigong_add_zhenqi_prop_138","<JmTipGray>, увеличивает</> <JmTipGray>ур. Ци Яда к</> <JmTipWhite>{0}</>"
"neigong_add_zhenqi_prop_139","<JmTipGray>, увеличивает</> <JmTipGray>ур. Ци гармонии к</> <JmTipWhite>{0}</>"
"Keyword_1","<TipGreen>[Холод]</> <TipGray>Замедляет восстановление энергии и уменьшает количество движений за ход на</> <Red>{0}</> <TipGray>.</> <Red>15</> <TipGray>стаков холода могут вызвать эффект [Заморозка]</>"
"Keyword_2","<TipGreen>[Ядовитые миазмы]</> <TipGray>При вступлении в силу получение</><Red>текущего слоя</><TipGray>урона</><TipGray> нескольких триггеров будет производить [ядовитые] эффекты в меридианах [Скрытая болезнь]</>"
"Keyword_3","<TipGreen>[Горение]</> <TipGray>При эффекте получает </><Red>текущий слой </><TipGray>урон </><TipGray> огнем</> <Red>10 </> <TipGray>Слой [Горение]</>"
"Keyword_4","<TipGreen>[Холод]</> <TipGray>Скорость восстановления внутренней энергии низкая, а количество ходов за раунд уменьшено</> <Red>{0}</> <TipGray>Холод</> <Red> 15</> <TipGray>Слой может [зависнуть]</>"
"Keyword_5","<TipGreen>[Дизентерия]</> <TipGray>Время от времени мне кажется, что я вот-вот заболею...</>"
"Keyword_6","<TipGreen>[Пьяный]</> <TipGray>Уменьшает передвижение. Каждый стек наносит</> <Red>7.5%</> <TipGray>Недостаток. Цель [Падает в нетрезвом состоянии] с</> <dmg>15</> <TipGray>стаканий пьяного</> "
"Keyword_7","<TipGreen>[Запечатывание пещеры]</> <TipGray>Невозможно использовать секретные навыки</>"
"Keyword_8","<TipGreen>[Крит]</> <TipGray>Этот прием является критическим ударом, наносящим</> <Red>2</> <TipGray>увеличенный урон</>"
"Keyword_9","<TipGreen>[Видеть насквозь]</> <TipGray>Есть шанс увидеть движения противника насквозь, и видимые ходы не могут нанести урон</>"
"Keyword_10","<TipGreen>[Живучесть]</> <TipGray>Каждый слой можно восстановить</> <Red>10</> <TipGray>Живучести</>"
"Keyword_11","<TipGreen>[Оживление]</> <TipGray>Увеличивает</> <TipGray>восстановление энергии на</> <Red>100%</>"
"Keyword_12","<TipGreen>[Рок]</> <TipGray>Применяется случайным образом для каждого слоя</> <Red>1</> <TipGray>Отрицательный статус</>"
"Keyword_13","<TipGreen>[Отслеживающий червь]</> <TipGray>Владелец способен отследить паразита на карте [Отслеживающий червь</> <Red>{0}</> <TipGray>]</>\\n<TipGreen>[Мотыль]</> <TipGray>, когда он активирован, крадет </> <Red>1</> <TipGray>Живучесть для заклинателя [принадлежащий мотыль</> <Red>{1}</> <TipGray>]</>\\n<TipGreen>[Любовный червь]</> <TipGray>Паразитирующий будет сблизиться с заклинателем при любых условиях, не имея возможности иметь какое-либо негативное отношение к заклинателю [принадлежащий Червю любви</> <Red>{2}</> <TipGray>]</>\\n<TipGray>[Червь смерти]</> <TipGray>Детонирует всех токсичных червей в носящем и наносит </> <Red>90</> <TipGray>DMG [червя смерти</> <Red>{3}</> <TipGray>]</>"
"Keyword_14","Заполнитель"
"Keyword_15","Заполнитель"
"Keyword_16","<TipGreen>[Удлиненные конечности]</> <TipGray>Теперь вы можете ходить как нормальный человек! ! !</>"
"Keyword_17","<TipGreen>[Движение ладонью]</> <TipGray>При попадании наносит</> <Red>{0}</> <TipGray>урона противнику</>"
"Keyword_18","<TipGreen>[Движение кулаком]</> <TipGray>При попадании наносит</> <Red>{0}</> <TipGray>урона противнику</>"
"Keyword_19","<TipGreen>[Движение ногой]</> <TipGray>При попадании наносит</> <Red>{0}</> <TipGray>урона противнику</>"
"Keyword_20","<TipGreen>[Движение оружия]</> <TipGray>При попадании наносит</> <Red>{0}</> <TipGray>урона противнику</>"
"Keyword_21","<TipGreen>[Движение скрытого оружия]</> <TipGray>При попадании наносит</> <Red>{0}</> <TipGray>урона противнику</>"
"Keyword_22","<TipGreen>[Отдых : Кровать]</> <TipGray>Во время отдыха постоянно восстанавливает небольшое количество Живучести</>"
"Keyword_23","<TipGreen>[Горячий источник для купания]</> <TipGray>Постоянно восстанавливает Живучесть во время купания</>"
"Keyword_24","<TipGreen>[Яркие глаза]</> <TipGray>Теперь вы можете видеть мир как обычный человек! ! ! </>"
"Keyword_25","<TipGreen>[Прокол·Надутый]</> <TipGray>Большой... такой большой...</>"
"Keyword_26","<TipGreen>[Выброс·Сжатие]</> <TipGray>Маленький... такой маленький...</>"
"Keyword_27","<TipGreen>[Летающее небо]</> <TipGray>Приобрел способность легкого Кунг-фу! ! !</>"
"Keyword_28","<TipGreen>[Умный]</> <TipGray>Скорость понимания значительно улучшена! ! !</>"
"Keyword_29","Заполнитель"
"Keyword_30","<TipGreen>[Талисман поедания сердец и костей]</> <TipGray>Это происходит каждый день. Когда это происходит, оно порождает</><Red>слои гибели x3</><TipGray>[Mad Hidden Болезнь]</>"
"Keyword_36","<TipGreen>[Шипы]</> <TipGray>При получении урона возвращается количество шипов*</> <Red>3</> <TipGray>Урон</>"
"Keyword_37","<TipGreen>[Золотой колокол]</> <TipGray>Получена половина урона</>"
"Keyword_39","<TipGreen>[Хладнокровие]</> <TipGray>Каждый раз, когда используется навык, увеличьте свою [Истерию] в </><Red>10</><TipGray> раз своих положительных отношений</>"
"Keyword_40","<TipGreen>[Не замерзает]</> <TipGray>Иммунитет к статусу замораживания</>"
"Keyword_41","<TipGreen>[Не горит]</> <TipGray>Иммунитет к статусу горения</>"
"Keyword_42","<TipGreen>[Не падает]</> <TipGray>Иммунитет к обмороку</>"
"Keyword_43","<TipGreen>[Мощный]</> <TipGray>Увеличивает все атаки</> <Red>2</> <TipGray>Урон</>"
"Keyword_44","<TipGreen>[Взрыв]</> <TipGray>Каждый раунд дополнительная розыгрыш</> <Red>1</> <TipGray>Ходы</>"
"Keyword_45","<TipGreen>[Золотой колокол]</> <TipGray>Получаемый урон уменьшен</> <Red>10</>"
"Keyword_46","<TipGreen>[Источник]</> <Red>[{0}]</>"
"Keyword_47","<TipGreen>[Lamp Bug]</> <TipGray>Вы можете отследить хозяина [Держащая лампа-жук на карте</> <Red>{0}</> <TipGray>]</>"
"Keyword_48","<TipGreen>[Мотыль]</> <TipGray>При активации извлекает</> <Red>1</> <TipGray>Живучесть для заклинателя, [владеющего Кровавым червем</> <Red>{0}</> <TipGray>]</>"
"Keyword_49","<TipGreen>[Любовь Гу]</> <TipGray>Хозяин безоговорочно любит Мастера Гу и не может иметь отрицательное отношение [Обладание любовным жуком</> <Red>{0}</> <TipGray>]</>"
"Keyword_50","<TipGreen>[Монах]</> <TipGray>Теперь ты монах</>"
"Keyword_51","<TipGreen>[Контршок]</> <TipGray>Он вступает в силу в конце раунда, нанося</> <Red>20%</> <TipGray>Урон максимальной внутренней силы</>"
"Keyword_52","<TipGreen>[Разбитые духи]</> <TipGray>Уменьшает</> <Red>10</> <TipGray>Максимальное количество духов в стопке до минимума</> <Red>10</>"
"Keyword_53","<TipGreen>[Дорогой родственник]</> <TipGray>Уменьшение за слой</> <Red>30%</> <TipGray>Максимальное значение настроения, минимальное до</> <Red>10</>"
"Keyword_54","<TipGreen>[Ошеломление любимой]</> <TipGray>Уменьшение за слой</> <Red>15%</> <TipGray>Максимальное значение настроения, минимальное до</> <Red> 10</>"
"Keyword_55","<TipGreen>[Better Friends Daily]</> <TipGray>Уменьшение за слой</> <Red>15%</> <TipGray>Максимальное значение настроения, минимальное до</> <Red> 10</>"
"Keyword_100","<TipGreen>[Спаситель неудачников]</> <TipGray>Принц Ада, возможно, отправился навестить родственников, избегайте</> <Red>1</> <TipGray> поражения! </>"
"Keyword_101","<TipGreen>[Инвалидность·Нога]</> <TipGray>Вы не можете использовать движения ногами, и медицинский центр может вас лечить. </>"
"Keyword_102","<TipGreen>[Имитация]</> <TipGray>Этот секретный навык заменяется целевым секретным навыком, а требования к перемещению остаются неизменными</>"
"Keyword_103","<TipGreen>[Имитировать]</> <TipGray>Это украденный секрет</>"
"Keyword_104","<TipGreen>[Искалеченная рука]</> <TipGray>Невозможно использовать удары руками и движениями ладони</>"
"Keyword_105","<TipGreen>[Повреждённый глаз]</> <TipGray>Невозможно использовать скрытые приёмы оружия</>"
"Keyword_106","<TipGreen>[Упал в обморок]</> <TipGray>Упал в обморок и не смог встать...</>"
"Keyword_107","<TipGreen>[Искренность]</> <TipGray>Молитесь за увеличение показателя успеха</> <Red>10%</>"
"Keyword_108","<TipGreen>[Испытание гробницы меча]</> <TipGray>Сбавка за уровень</> <Red>220</> <TipGray>Приводит в бешенство! Если вы пройдете тест...</>"
"Keyword_109","<TipGreen>[Узник]</> <TipGray>Как пленник, вы не сможете сбежать из этой клетки...</>"
"Keyword_110","<TipGreen>[Побег из тюрьмы]</> <TipGray>Хотя он и сбежал из тюрьмы, он все еще заключенный...</>"
"Keyword_111","<TipGreen>[Скрывается]</> <TipGray>Скрыт, другие не должны его обнаружить... [Он очень похож на знаменитого эксперта по сокрытию!]</>"
"Keyword_113","<TipGreen>[Злые дела]</> <TipGray>Подлый и легко подвергающийся нападению со стороны других</><Red>[Презрение], не позволяйте никому видеть вас, пока злые дела не исчезнут</>"
"Keyword_114","<TipGreen>[Разрушение]</> <TipGray>Разрушение оставляет следы, что облегчает жизнь другим</><Red>[Презрение], не позволяйте никому видеть вас, пока разрушения не исчезнут</>"
"Keyword_115","<TipGreen>[Окровавленные и неизбирательные убийства невинных людей]</> <TipGray>Окрашенные сильной кровью, вы легко можете подвергнуться нападению со стороны других</><Red>[Отвращение], не позволяйте никому вас видеть прежде чем пятна крови исчезнут</>"
"Keyword_116","<TipGreen>[Иммунитет к холоду]</> <TipGray>Не может быть подвергнут статусу холода</>"
"Keyword_117","<TipGreen>[Иммунитет к горению]</> <TipGray>Невозможно наложить статус горения</>"
"Keyword_118","<TipGreen>[Иммунитет к миазмам]</> <TipGray>Невозможно наложить статус Миазмы</>"
"Keyword_119","<TipGreen>[Окровавленные · Иду в небеса]</> <TipGray>Пятна крови преступников</>"
"Keyword_120","<TipGreen>[Окровавленная·Месть]</> <TipGray>Великая месть только что отомщена</>"
"Keyword_121","<TipGreen>[Окрашенный кровью, полный греха]</> <TipGray>Окрашенный сильной кровью, легко вызвать ненависть других</><Red>[Отвращение]</>"
"Keyword_122","<TipGreen>[Звезды движутся]</> <TipGray>Поглощен секретный навык:</>"
"Keyword_122_0","<TipGreen>[Звездный сдвиг]</> <TipGray>Поглощение противника</> <Red>1</> <TipGray>Трюки (активируются первыми)</>"
"Keyword_122_extra","\\n<TipGray>При удалении Звезды и Луны активирует поглощенный Навык.</>\\n<TipGray>При удалении Освещения увеличивает Урон от Навыка на {0}% за стек.</>\\n<TipGray>При снятии с помощью Объятий луны восстанавливает {1}% от максимальной Живучести за заряд.</>"
"Keyword_123","<TipGreen>[Перенос и трансплантация]</> <TipGray>Поглощенные ходы:</>"
"Keyword_123_0","<TipGreen>[Перенос]</> <TipGray>Поглотить предыдущие ходы, сделанные противником в этом раунде</> <Red>{0}</> <TipGray>ходы</>"
"Keyword_123_extra","\\n<TipGray>При удалении с помощью Звезд и Луны наносит удары, поглощенные Перемещением цветов.</>\\n<TipGray>При удалении с помощью Освещения увеличивает урон от перемещения на {0}% за стек.</>\ \n<TipGray>При снятии с помощью Объятий луны восстанавливает {1}% потерянной энергии за заряд.</>"
"Keyword_124","<TipGreen>[Банда Ци]</> <TipGray>В настоящее время принадлежит</> <Red>{0}</> <TipGray>Метка Банды Ци</>"
"Keyword_125","<TipGreen>[Заключение на Небесах]</> <TipGray>Я заключен на Небесах и не могу предпринимать никаких действий! </>"
"Keyword_126","<TipGreen>[Прошу ребенка]</> <TipGray>Кажется, теперь ты можешь дать рождение новой жизни! </>"
"Keyword_127","<TipGreen>[Неполный человек]</> <TipGray>Человек, потерявший драгоценное сокровище, - несовершенный человек. Несовершенный человек может присоединиться к Имперской Гвардии и познать силу выживания на солнце</>"
"Keyword_128","<TipGreen>[Действуя по служебному долгу]</> <TipGray>Осуществление злонамеренного поведения по отношению к разыскиваемому персонажу не вызовет у других персонажей негативного отношения к вам. Имперским стражам общего знамени и выше не нужно тратить деньги на использование гостиницы. Имперские гвардейцы Фуси и выше могут использовать гостиницу в любом месте, а двери, которые изначально были недоступны, можно открыть ногами</>"
"Keyword_129","<TipGreen>[Императорская Хартия]</> <TipGray>Имперская Хартия достигает</> <Red>3</> <TipGray>вы можете мобилизовать имперскую гвардию низкого ранга</>"
"Keyword_130","<TipGreen>[Смертельный замок·руки]</> <TipGray>Случайным образом блокирует руку цели. Скорость уменьшается </> <Red> на 10%</> <ТипГрей>, Уменьшите количество движений ладонью, кулаком, оружием и секретным оружием в библиотеке приемов </> <Red> на 50%</>\\n<ТипГрей> Никакие трюки нельзя использовать, когда конечности цели заблокированы </>"
"Keyword_131","<TipGreen>[Смертельный замок · нога]</> <TipGray>Случайным образом блокирует ноги цели, снижая скорость </> <Red> на 10%</> <TipGray>, Уменьшено количество движений ногами в их библиотеке </> <Red> на 50%</>\\n<TipGray> Никакие трюки нельзя использовать, когда конечности цели заблокированы </>"
"Keyword_132","<TipGreen>[Разделение души]</> <TipGray>Стоимость высвобождения уникальных навыков увеличена вдвое</>"
"Keyword_133","<TipGreen>[Очищение повелителя]</> <TipGray>получить</> <Red>300</> <TipGray> очков ци</>"
"Keyword_134","<TipGreen>[Восстание Царя Небесного]</> <TipGray>Во время состояния, даже если вы не соответствуете условиям использования секретного навыка, вы все равно можете использовать секретный навык.Урон от секретного навыка, используемого в таким образом увеличивается</> <Red>50%</> <TipGray>, но вы получаете</> <Red>20</> <TipGray>слой скрытого безумия</>"
"Keyword_135","<TipGreen>[Средь бела дня]</> <TipGray>Скорость передвижения увеличивается</> <Red>на 20%</>"
"Keyword_136","<TipGreen>[Разыскивается преступник]</> <TipGray>Вас разыскивает Имперская гвардия</>\\n<TipGray>Уровень разыскивания</><Red> 1 </><TipGray>: Пойман После этого вы будет оштрафован</> <Red>1000</> <TipGray>медных монет или задержан</> <Red>1</> <TipGray>день</>\\n<TipGray>Уровень розыска</><Red> 2 </><TipGray>: Если вас поймают, вы будете оштрафованы</> <Red>3000</> <TipGray>Медными монетами или заключены в тюрьму</> <Red>3</> <TipGray>дня</>>\\n<TipGray>Уровень розыска</><Red> 3 </><TipGray>: Если вас поймают, вы будете задержаны</> <Red>5</> <TipGray>дней</>\\n <TipGray>Уровень розыска</><Red> 4 </><TipGray>: Если его поймают, вы будете задержаны</> <Red>8</> <TipGray>дней и проткнут кость лютни</> \\n<TipGray>Уровень розыска</><Red> 5 </><TipGray>: После того, как его поймают, ему проткнут костью лютни и после некоторого ожидания обезглавят</>"
"Keyword_137","<TipGreen>[Проколотая лютневая кость]</> <TipGray>Ваша лютневая кость проколота, и вы не можете использовать свои уникальные навыки и Нейгуны. Вам нужно найти кого-то с отличными медицинскими навыками, чтобы вылечить ее</>"
"Keyword_138","<TipGreen>[Заключенный]</> <TipGray>Находится в тюрьме и будет освобожден после окончания срока действия статуса</>"
"Keyword_139","<TipGreen>[Ожидающий, чтобы его убили]</> <TipGray>По окончании состояния будет обезглавлен</>"
"Keyword_140","<TipGreen>[Убийственный взгляд]</> <TipGray>Окружающий человек может чувствовать мрачное дыхание на своем теле. Перед лицом робких и трусливых людей, во время боя,Увеличение</> <Red>20%</> <TipGray>слюна</>"
"Keyword_141","<TipGreen>[Разорвать кишечник]</> <TipGray>Увеличивать каждый день</> <Red>1</> <TipGray>слой, самый</> <Red>4</> <TipGray>слой，При добавлении будут вырабатываться токсичные и скрытые заболевания, их невозможно вылечить, а само горение превышает</> <Red>30</><TipGray> слой，Есть шанс снять статус медитации, и активация ограбления Сюаньхуо может увеличить вероятность раскрытия информации</>"
"Keyword_142","<TipGreen>[Разрыв сухожильного хряща]</> <TipGray>Увеличенный урон</> <Red>100%</> <TipGray>，Не подлежит лечению, прыгайте в воду, чтобы медленно удалить состояние или используйте крем для удаления, чтобы очистить состояние</>"
"Keyword_143","<TipGreen>[Предсказание смерти]</> <TipGray>Черная птица выпустила предварительный просмотр смерти, и те, кто был склонен к плохой репутации, подверглись нападению. Настроение продолжало ухудшаться. Те, кто убил предварительный просмотр смерти может дать кровавые деньги и убийственность (чем ниже настроение при убийстве, тем больше наград было получено)</>"
"Keyword_144","<TipGreen>[Маскировка]</> <TipGray>Изменение внешнего вида стало{0}</>"
"Keyword_145","<TipGreen>[Приказ об убийстве]</> <TipGray>Вы взяли список крови, и это необходимо сделать в течение 10 дней, Убить{0}</>"
"Keyword_146","<TipGreen>[Приказ об убийстве]</> <TipGray>Вы убили {0}. Поднимитесь ночью на высокое место, чтобы использовать полоску ткани кровавого цвета, и призовите контактное лицо, чтобы получить награду</>"
"Keyword_147","<TipGreen>[Разрыв меридианов]</> <TipGray>Случайно отключить нормальную акупунктурную точку для игроков; Для NPC отключить 1 случайный Нейгун, если больше или равен 3 слоям. Отключить 2 случайных Нейгуна, если количество слоев равно 6. Отключить все Нейгуны, если количество слоев больше или равно 15</>"
"Keyword_148","<TipGreen>[Трудолюбие]</> <TipGray>Каждый уровень увеличивает урон секретного навыка на 10%. Использование секретного навыка без Трудолюбие"""
"Keyword_149","<TipGreen>[Инферно]</> <TipGray>Каждый раунд наносит урон, равный количеству слоев пламени x количеству слоев палящего жара на противнике (игнорируя внутреннюю силовую защиту)</>"
"Keyword_150","<TipGreen>[Накапливать]</> <TipGray>При использовании секретного навыка, который потребляет более 10% вашей внутренней энергии, вся Накопленная энергия"" будет очищена. За каждый очищенный слой увеличивает урон навыка на 10%</>"""
"Keyword_151","<TipGreen>[Серийный]</> <TipGray>При срабатывании неожиданного приема или комбо - расходуется 1 слой и соответствующий эффект срабатывает еще 1 раз</>"
"Keyword_152","<TipGreen>[Сломанного бамбук]</> <TipGray>После получении урона поглотите 1 слой и восстановите в 50 раз больше слоев внутренней энергии Сломанного бамбука""</>"""
